ID_UC,ID_TC,Tiêu đề,Tiền điều kiện,Các bước thực hiện,Kết quả mong muốn,Kết quả test,Ghi chú,Flag
Quan_ly_cho_vay,,Sửa hồ sơ (Danh sách — sheet đầu),,,,,SECTION — TC mới (bôi vàng),SECTION
Quan_ly_cho_vay,TC_EDIT_001,Hiển thị action Sửa trên danh sách hồ sơ,Đăng nhập hệ thống → vào màn hình Danh sách hồ sơ Uỷ thác cho vay (sheet đầu / danh sách hồ sơ). Có ≥1 hồ sơ trên lưới.,"1. Quan sát cột Thao tác / action trên từng dòng hồ sơ
2. Hover / kiểm tra icon hoặc nút Sửa","Mỗi dòng hồ sơ hợp lệ hiển thị action Sửa (icon/bút chì hoặc menu).
Action nhận diện được, không bị che.",,"NEW — merge vào file gốc, không đụng TC cũ",NEW
Quan_ly_cho_vay,TC_EDIT_002,Mở form Sửa Hồ sơ - Uỷ thác cho vay từ danh sách,Đăng nhập hệ thống → vào màn hình Danh sách hồ sơ Uỷ thác cho vay (sheet đầu / danh sách hồ sơ). Có ≥1 hồ sơ.,"1. Tại dòng hồ sơ bất kỳ, click Sửa
2. Quan sát popup/form mở ra","Mở form tiêu đề: ""Sửa Hồ sơ - Uỷ thác cho vay"".
Có nút đóng (X), Hủy, Lưu.
Form load đủ section theo UI (Hình thức tiếp nhận, Người nộp, Thông tin tờ khai, Dự án, Đề nghị vay, Giải ngân, Thẩm định/Tài sản, Hồ sơ đính kèm).",,"NEW — merge vào file gốc, không đụng TC cũ",NEW
Quan_ly_cho_vay,TC_EDIT_003,Form Sửa prefill đúng dữ liệu hồ sơ đã lưu,Đăng nhập hệ thống → vào màn hình Danh sách hồ sơ Uỷ thác cho vay (sheet đầu / danh sách hồ sơ). Biết sẵn giá trị các field của 1 hồ sơ (gồm phần tài sản).,"1. Click Sửa trên hồ sơ đã chọn
2. So sánh từng field trên form với dữ liệu đã lưu / chi tiết hồ sơ","Toàn bộ field hiển thị đúng giá trị hiện tại của hồ sơ (không blank sai, không lệch sang hồ sơ khác).
Gồm cả field tài sản: Tài sản đảm bảo, Mô tả chi tiết TSĐB, Hiện trạng tài sản, Tính pháp lý tài sản.",,"NEW — merge vào file gốc, không đụng TC cũ",NEW
Quan_ly_cho_vay,TC_EDIT_004,Sửa — Hủy không lưu thay đổi,Đăng nhập hệ thống → vào màn hình Danh sách hồ sơ Uỷ thác cho vay (sheet đầu / danh sách hồ sơ). Mở form Sửa.,"1. Đổi giá trị 1 field bất kỳ (vd: Họ tên người nộp)
2. Click Hủy
3. Mở lại Sửa / Chi tiết cùng hồ sơ","Form đóng, không lưu.
Dữ liệu hồ sơ giữ nguyên giá trị cũ.",,"NEW — merge vào file gốc, không đụng TC cũ",NEW
Quan_ly_cho_vay,TC_EDIT_005,Sửa — đóng icon X không lưu,Đăng nhập hệ thống → vào màn hình Danh sách hồ sơ Uỷ thác cho vay (sheet đầu / danh sách hồ sơ). Mở form Sửa.,"1. Đổi 1 field
2. Click icon X
3. Kiểm tra lại dữ liệu hồ sơ","Form đóng, không lưu. Dữ liệu gốc không đổi.",,"NEW — merge vào file gốc, không đụng TC cũ",NEW
Quan_ly_cho_vay,TC_EDIT_006,Sửa — bỏ trống field bắt buộc (Người nộp / Tổ chức),Đăng nhập hệ thống → vào màn hình Danh sách hồ sơ Uỷ thác cho vay (sheet đầu / danh sách hồ sơ). Mở form Sửa. Các field (*) đang có giá trị.,"1. Xóa trống lần lượt các field (*): Loại giấy tờ người nộp / Số định danh / Họ tên người nộp / Mã số thuế / các field (*) khác visible
2. Click Lưu","Không lưu thành công.
Highlight field lỗi + message kiểu ""Vui lòng nhập + tên trường"" (theo UI thực tế).
Nút Lưu disabled hoặc form vẫn mở. [TBD message nguyên văn nếu SRS khác]",,Assumption: rule required giống form Tạo mới,NEW
Quan_ly_cho_vay,TC_EDIT_007,Sửa phần Tài sản đảm bảo — happy path,"Đăng nhập hệ thống → vào màn hình Danh sách hồ sơ Uỷ thác cho vay (sheet đầu / danh sách hồ sơ). Hồ sơ cho phép sửa. Mở form Sửa → section ""5. Kết quả thẩm định hồ sơ của ngân hàng"".","1. Sửa ""Tài sản đảm bảo"" = giá trị hợp lệ mới
2. Sửa ""Mô tả chi tiết tài sản đảm bảo""
3. Sửa ""Hiện trạng tài sản""
4. Sửa ""Tính pháp lý tài sản""
5. Giữ checkbox cam kết (nếu bắt buộc)
6. Click Lưu
7. Mở Chi tiết / Sửa lại để verify","Lưu thành công (message theo UI, vd: ""Cập nhật thành công"" — [TBD]).
4 field tài sản phản ánh đúng giá trị mới trên Chi tiết hồ sơ.
Các field khác không bị ghi đè sai.",,"NEW — merge vào file gốc, không đụng TC cũ",NEW
Quan_ly_cho_vay,TC_EDIT_008,Sửa phần Tài sản — bỏ trống field (*) tài sản,"Đăng nhập hệ thống → vào màn hình Danh sách hồ sơ Uỷ thác cho vay (sheet đầu / danh sách hồ sơ). Mở form Sửa, section thẩm định/tài sản.","1. Xóa trống lần lượt: Tài sản đảm bảo / Mô tả chi tiết TSĐB / Hiện trạng tài sản / Tính pháp lý tài sản
2. Click Lưu sau mỗi lần (hoặc cuối cùng)","Không cho lưu khi field (*) tài sản trống.
Hiển thị validation + highlight field.
Message: ""Vui lòng nhập + tên trường"" (ưu tiên text UI).",,"NEW — merge vào file gốc, không đụng TC cũ",NEW
Quan_ly_cho_vay,TC_EDIT_009,Sửa — cập nhật Hình thức tiếp nhận (Trực tiếp / Trực tuyến),Đăng nhập hệ thống → vào màn hình Danh sách hồ sơ Uỷ thác cho vay (sheet đầu / danh sách hồ sơ). Mở form Sửa.,"1. Đổi radio Hình thức từ Trực tiếp ↔ Trực tuyến
2. Click Lưu
3. Mở lại form / chi tiết",Lưu thành công. Hình thức hiển thị đúng lựa chọn mới.,,"NEW — merge vào file gốc, không đụng TC cũ",NEW
